year,ruler_count,ruler_name,display_name,dynasty,house_color,start_year,end_year,wiki_title,notes,fait_1,fait_2,fait_3
481,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
482,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
483,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
484,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
485,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
486,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
487,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
488,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
489,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
490,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
491,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
492,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
493,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
494,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
495,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
496,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
