ranking_date,player_name,country_code,points,season_summary
2000-11-27,Martina Hingis,SUI,6180,
2000-11-27,Lindsay Davenport,USA,5022,
2000-11-27,Venus Williams,USA,3694,
2000-11-27,Monica Seles,USA,3255,
2000-11-27,Conchita Martínez,ESP,2795,
2000-11-27,Serena Williams,USA,2306,
2000-11-27,Mary Pierce,FRA,2162,
2000-11-27,Anna Kournikova,RUS,2158,
2000-11-27,Arantxa Sanchez-Vicario,ESP,2132,
2000-11-27,Nathalie Tauziat,FRA,1963,
2000-11-27,Amanda Coetzer,RSA,1798,
2000-11-27,Elena Dementieva,RUS,1774,
2000-12-04,Martina Hingis,SUI,6180,
2000-12-04,Lindsay Davenport,USA,5022,
2000-12-04,Venus Williams,USA,3694,
2000-12-04,Monica Seles,USA,3255,
2000-12-04,Conchita Martínez,ESP,2795,
2000-12-04,Serena Williams,USA,2306,
2000-12-04,Mary Pierce,FRA,2162,
2000-12-04,Anna Kournikova,RUS,2158,
2000-12-04,Arantxa Sanchez-Vicario,ESP,2132,
2000-12-04,Nathalie Tauziat,FRA,1963,
2000-12-04,Amanda Coetzer,RSA,1798,
2000-12-04,Elena Dementieva,RUS,1774,
2000-12-11,Martina Hingis,SUI,6180,
2000-12-11,Lindsay Davenport,USA,5022,
2000-12-11,Venus Williams,USA,3694,
2000-12-11,Monica Seles,USA,3255,
2000-12-11,Conchita Martínez,ESP,2795,
2000-12-11,Serena Williams,USA,2306,
2000-12-11,Mary Pierce,FRA,2162,
2000-12-11,Anna Kournikova,RUS,2158,
2000-12-11,Arantxa Sanchez-Vicario,ESP,2132,
2000-12-11,Nathalie Tauziat,FRA,1963,
2000-12-11,Amanda Coetzer,RSA,1798,
2000-12-11,Elena Dementieva,RUS,1774,
2000-12-18,Martina Hingis,SUI,6180,
2000-12-18,Lindsay Davenport,USA,5022,
2000-12-18,Venus Williams,USA,3694,
2000-12-18,Monica Seles,USA,3255,
2000-12-18,Conchita Martínez,ESP,2795,
2000-12-18,Serena Williams,USA,2306,
2000-12-18,Mary Pierce,FRA,2162,
2000-12-18,Anna Kournikova,RUS,2158,
2000-12-18,Arantxa Sanchez-Vicario,ESP,2132,
2000-12-18,Nathalie Tauziat,FRA,1963,
2000-12-18,Amanda Coetzer,RSA,1798,
2000-12-18,Elena Dementieva,RUS,1774,
2000-12-25,Martina Hingis,SUI,6044,
2000-12-25,Lindsay Davenport,USA,5021,
2000-12-25,Venus Williams,USA,3694,
2000-12-25,Monica Seles,USA,3255,
2000-12-25,Conchita Martínez,ESP,2752,
2000-12-25,Serena Williams,USA,2306,
2000-12-25,Mary Pierce,FRA,2162,
2000-12-25,Arantxa Sanchez-Vicario,ESP,2131,
2000-12-25,Anna Kournikova,RUS,2098,
2000-12-25,Nathalie Tauziat,FRA,1918,
2000-12-25,Elena Dementieva,RUS,1773,
2000-12-25,Amanda Coetzer,RSA,1752,
